"curso_id","nombre","descripcion"
"1","Español","Aplica la normativa del idioma al redactar diferentes tipos de texto para los que y selecciona la estructura adecuada."
"2","Idiomas Mayas","Expresa sus necesidades comunicativas utilizando su idioma maya materno en el contexto escolar."
"3","Ingles","Aplica estrategias cognitivas y metacognitivas en la comprensión de nuevo vocabulario."
"4","TIC","Relaciona los diferentes dispositivos y comandos del sistema operativo, de Microsoft Office y de Internet de acuerdo con las aplicaciones de cada uno de éstos."
"5","Matemáticas","Utiliza las relaciones y propiedades entre diferentes patrones (algebraicos, geométricos y trigonométricos) en la representación de información y la resolución de problema."
"6","Ciencias Naturales","Contrasta los hábitos de su familia y de su comunidad con las prácticas que contribuyen a la conservación y el mejoramiento de la salud."
"7","Ciencias Sociales y Formaci?n Ciudadana","Emite juicios acerca del contexto histórico mundial dentro del cual se desarrolló el proceso de formación de la nación guatemalteca que creó una ciudadanía diferenciada con la continuidad de la estructura colonial."
"8","Formación Musical","Establece diferencias entre mensajes musicales provenientes de su propia cultura y otros similares que identifican a otras culturas."
"9","Artes Plásticas","Utiliza los factores de comunicación y tecnología en el diseño de campañas publicitarias de carácter informativo."
"10","Danza y Expresión Corporal","Interpreta bailes y danzas, individuales o grupales, expresando destreza en el uso coordinado del cuerpo en el espacio."
